Date,Open,High,Low,Close
2023-07-02,96.13400268554688,96.60600280761719,96.01200103759766,96.13400268554688
2023-07-03,96.48999786376953,96.8219985961914,96.10099792480469,96.48999786376953
2023-07-04,96.63999938964844,96.8239974975586,96.06199645996094,96.63999938964844
2023-07-05,96.1500015258789,96.3010025024414,95.30599975585938,96.1500015258789
2023-07-06,95.40899658203125,95.5790023803711,94.80999755859375,95.40899658203125
2023-07-09,95.1050033569336,95.46499633789062,94.11499786376953,95.1050033569336
2023-07-10,94.33799743652344,94.60099792480469,93.47100067138672,94.33799743652344
2023-07-11,93.78199768066406,94.1989974975586,93.25,93.78199768066406
2023-07-12,93.94200134277344,95.29299926757812,93.85800170898438,93.94200134277344
2023-07-13,95.1050033569336,95.36699676513672,94.56600189208984,95.1050033569336
2023-07-16,94.8239974975586,94.86699676513672,94.01899719238281,94.8239974975586
2023-07-17,94.4739990234375,94.77899932861328,93.79000091552734,94.4739990234375
2023-07-18,94.70999908447266,94.7959976196289,94.20700073242188,94.70999908447266
2023-07-19,94.50499725341797,95.41100311279297,94.53299713134766,94.50499725341797
2023-07-20,94.79399871826172,95.77799987792969,94.65499877929688,94.79399871826172
2023-07-23,95.33000183105469,95.44300079345703,94.89299774169922,95.33000183105469
2023-07-24,95.27899932861328,95.85199737548828,95.18499755859375,95.27899932861328
2023-07-25,95.63899993896484,95.71299743652344,94.44400024414062,95.63899993896484
2023-07-26,94.88500213623047,95.40899658203125,94.7760009765625,94.88500213623047
2023-07-27,93.19300079345703,94.14099884033203,91.84200286865234,93.19300079345703
2023-07-30,93.75,95.81400299072266,93.73500061035156,93.75
2023-07-31,95.58999633789062,95.74800109863281,94.56900024414062,95.58999633789062
2023-08-01,94.6050033569336,94.89800262451172,93.61399841308594,94.6050033569336
2023-08-02,93.75399780273438,94.06900024414062,92.9729995727539,93.75399780273438
2023-08-03,93.54199981689453,93.91200256347656,93.22200012207031,93.54199981689453
2023-08-06,93.26100158691406,93.61900329589844,93.11299896240234,93.26100158691406
2023-08-07,93.66899871826172,93.96099853515625,92.927001953125,93.66899871826172
