Date,Open,High,Low,Close
2023-07-02,108.96800231933594,109.36100006103516,108.80500030517578,108.96800231933594
2023-07-03,109.12300109863281,109.3479995727539,108.9800033569336,109.12300109863281
2023-07-04,109.18199920654297,109.37799835205078,108.50499725341797,109.18199920654297
2023-07-05,108.73999786376953,108.7509994506836,107.80000305175781,108.73999786376953
2023-07-06,107.69300079345703,107.83200073242188,106.87000274658203,107.69300079345703
2023-07-09,107.08799743652344,107.59200286865234,106.48999786376953,107.08799743652344
2023-07-10,106.4280014038086,106.5979995727539,105.6510009765625,106.4280014038086
2023-07-11,105.90799713134766,105.87300109863281,104.8010025024414,105.90799713134766
2023-07-12,104.91000366210938,105.47100067138672,104.75299835205078,104.91000366210938
2023-07-13,105.29100036621094,105.90299987792969,104.76599884033203,105.29100036621094
2023-07-16,104.83000183105469,105.70500183105469,104.38800048828125,104.83000183105469
2023-07-17,105.0719985961914,105.43299865722656,104.26000213623047,105.0719985961914
2023-07-18,105.58599853515625,106.34400177001953,105.44000244140625,105.58599853515625
2023-07-19,106.04399871826172,106.56199645996094,105.88500213623047,106.04399871826172
2023-07-20,106.15499877929688,107.77899932861328,106.0780029296875,106.15499877929688
2023-07-23,107.17400360107422,107.33599853515625,106.80000305175781,107.17400360107422
2023-07-24,107.40499877929688,107.64299774169922,105.54399871826172,107.40499877929688
2023-07-25,106.84700012207031,107.01000213623047,105.9219970703125,106.84700012207031
2023-07-26,106.29299926757812,107.07599639892578,105.85199737548828,106.29299926757812
2023-07-27,104.96900177001953,106.61299896240234,104.21900177001953,104.96900177001953
2023-07-30,106.21700286865234,108.09700012207031,106.18199920654297,106.21700286865234
2023-07-31,107.86199951171875,108.08499908447266,107.5250015258789,107.86199951171875
2023-08-01,107.73300170898438,107.87799835205078,106.84400177001953,107.73300170898438
2023-08-02,107.38899993896484,107.73300170898438,106.38400268554688,107.38899993896484
2023-08-03,106.8030014038086,107.03800201416016,106.04399871826172,106.8030014038086
2023-08-06,106.0719985961914,106.54100036621094,105.83399963378906,106.0719985961914
2023-08-07,106.5780029296875,107.08399963378906,105.91600036621094,106.5780029296875
2023-08-08,106.70099639892578,107.02400207519531,106.58000183105469,106.70099639892578
2023-08-09,107.10399627685547,107.83000183105469,107.09300231933594,107.10399627685547
2023-08-10,107.72799682617188,107.91500091552734,107.4260025024414,107.72799682617188
2023-08-13,107.74600219726562,108.0270004272461,107.5199966430664,107.74600219726562
2023-08-14,108.05599975585938,108.27100372314453,107.66000366210938,108.05599975585938
2023-08-15,107.9280014038086,108.0770034790039,107.61499786376953,107.9280014038086
2023-08-16,108.08999633789062,108.26300048828125,106.55799865722656,108.08999633789062
2023-08-17,107.56900024414062,107.61599731445312,107.03399658203125,107.56900024414062
2023-08-20,107.29399871826172,108.18599700927734,107.10199737548828,107.29399871826172
2023-08-21,107.95999908447266,108.01799774169922,107.53600311279297,107.95999908447266
2023-08-22,107.56600189208984,107.62300109863281,106.55999755859375,107.56600189208984
2023-08-23,106.97200012207031,107.65699768066406,106.9739990234375,106.97200012207031
2023-08-24,107.49600219726562,107.63099670410156,107.25700378417969,107.49600219726562
2023-08-27,107.7699966430664,108.01799774169922,107.62300109863281,107.7699966430664
2023-08-28,107.677001953125,108.10099792480469,107.40799713134766,107.677001953125
2023-08-29,107.66500091552734,108.00599670410156,107.51000213623047,107.66500091552734
2023-08-30,107.93699645996094,108.09100341796875,107.5199966430664,107.93699645996094
2023-08-31,107.6729965209961,107.81600189208984,106.70600128173828,107.6729965209961
2023-09-03,107.43000030517578,107.76000213623047,107.41000366210938,107.43000030517578
2023-09-04,107.75199890136719,108.48141479492188,107.45700073242188,107.75199890136719
2023-09-05,108.11599731445312,108.29399871826172,107.77999877929688,108.11599731445312
2023-09-06,108.28900146484375,108.35600280761719,107.53800201416016,108.28900146484375
2023-09-07,107.66899871826172,108.44000244140625,107.20999908447266,107.66899871826172
2023-09-10,107.93900299072266,108.11000061035156,107.2959976196289,107.93900299072266
2023-09-11,108.01300048828125,108.65299987792969,107.82599639892578,108.01300048828125
2023-09-12,108.572998046875,109.0739974975586,108.48400115966797,108.572998046875
2023-09-13,108.71800231933594,109.04199981689453,108.58999633789062,108.71800231933594
2023-09-14,109.12000274658203,109.46800231933594,109.02999877929688,109.12000274658203
2023-09-17,109.34600067138672,109.64299774169922,109.19000244140625,109.34600067138672
2023-09-18,109.4000015258789,110.40499877929688,109.4229965209961,109.4000015258789
2023-09-19,109.89600372314453,110.21800231933594,109.76000213623047,109.89600372314453
2023-09-20,110.04900360107422,110.13800048828125,109.22599792480469,110.04900360107422
2023-09-21,109.53700256347656,110.41300201416016,109.45999908447266,109.53700256347656
2023-09-24,110.12899780273438,110.5459976196289,109.95999908447266,110.12899780273438
