Date,Open,High,Low,Close
2023-07-03,343.0,344.5299987792969,342.7799987792969,344.07000732421875
2023-07-05,342.3800048828125,343.739990234375,342.25,342.80999755859375
2023-07-06,340.239990234375,340.8699951171875,337.70001220703125,339.2300109863281
2023-07-07,337.9700012207031,340.3999938964844,337.19000244140625,337.42999267578125
2023-07-10,337.3999938964844,339.6499938964844,337.1700134277344,339.5799865722656
2023-07-11,340.739990234375,342.9200134277344,339.95001220703125,342.6400146484375
2023-07-12,344.9100036621094,345.8999938964844,343.1499938964844,343.6300048828125
2023-07-13,344.3399963378906,344.8800048828125,343.70001220703125,343.9200134277344
2023-07-14,345.7099914550781,345.9200134277344,344.510009765625,345.1700134277344
2023-07-17,344.55999755859375,346.70001220703125,344.2200012207031,345.8500061035156
2023-07-18,345.6499938964844,349.9100036621094,345.25,349.5799865722656
2023-07-19,350.3999938964844,352.45001220703125,350.3999938964844,350.69000244140625
2023-07-20,351.45001220703125,353.8900146484375,351.3500061035156,352.42999267578125
2023-07-21,352.80999755859375,353.32000732421875,351.7099914550781,352.1400146484375
2023-07-24,352.7099914550781,354.57000732421875,352.5299987792969,354.07000732421875
2023-07-25,353.79998779296875,355.17999267578125,353.54998779296875,354.32000732421875
2023-07-26,353.1400146484375,356.2799987792969,353.1199951171875,355.25
2023-07-27,355.8599853515625,356.3599853515625,352.0400085449219,352.7699890136719
2023-07-28,354.510009765625,355.54998779296875,353.42999267578125,354.4800109863281
2023-07-31,354.57000732421875,355.6000061035156,354.19000244140625,355.57000732421875
2023-08-01,355.2699890136719,356.70001220703125,355.1400146484375,356.20001220703125
2023-08-02,354.4800109863281,355.20001220703125,352.1099853515625,352.739990234375
2023-08-03,351.6000061035156,353.3900146484375,351.1199951171875,351.989990234375
2023-08-04,353.1199951171875,354.9599914550781,350.20001220703125,350.6499938964844
2023-08-07,352.0400085449219,354.8699951171875,351.8800048828125,354.6199951171875
2023-08-08,352.4200134277344,353.3500061035156,349.9200134277344,353.0199890136719
2023-08-09,352.8699951171875,353.67999267578125,350.5400085449219,351.2799987792969
2023-08-10,353.1499938964844,355.9200134277344,351.19000244140625,351.8900146484375
2023-08-11,351.19000244140625,353.7200012207031,350.6099853515625,353.0
2023-08-14,352.7300109863281,353.5,351.7699890136719,353.2099914550781
2023-08-15,351.6700134277344,352.0199890136719,349.17999267578125,349.6099853515625
2023-08-16,349.29998779296875,351.5199890136719,347.7099914550781,347.7699890136719
2023-08-17,348.95001220703125,349.32000732421875,344.82000732421875,345.05999755859375
2023-08-18,342.95001220703125,345.9100036621094,342.67999267578125,345.1199951171875
2023-08-21,345.29998779296875,345.7200012207031,342.489990234375,344.6700134277344
2023-08-22,344.7900085449219,345.1400146484375,342.57000732421875,342.9599914550781
2023-08-23,343.5299987792969,345.3999938964844,343.25,344.8299865722656
2023-08-24,344.32000732421875,346.9700012207031,340.9700012207031,341.0299987792969
2023-08-25,342.4599914550781,344.54998779296875,340.3500061035156,343.5
2023-08-28,345.2099914550781,346.6700134277344,344.5,345.7099914550781
2023-08-29,345.55999755859375,348.75,345.3999938964844,348.6199951171875
2023-08-30,349.1000061035156,350.7300109863281,348.5199890136719,349.3999938964844
2023-08-31,350.9200134277344,351.2799987792969,347.739990234375,347.80999755859375
2023-09-01,349.92999267578125,350.3599853515625,347.75,348.9800109863281
2023-09-05,349.0799865722656,349.2799987792969,346.8999938964844,346.9800109863281
2023-09-06,346.45001220703125,346.510009765625,343.4599914550781,345.0
2023-09-07,344.4599914550781,346.239990234375,344.3500061035156,345.69000244140625
2023-09-08,345.7699890136719,347.0400085449219,345.4800109863281,346.510009765625
2023-09-11,348.0199890136719,348.5899963378906,346.510009765625,347.3699951171875
2023-09-12,346.6400146484375,349.29998779296875,346.3599853515625,347.2099914550781
2023-09-13,347.55999755859375,348.510009765625,345.82000732421875,346.54998779296875
2023-09-14,348.6600036621094,350.6300048828125,347.7300109863281,349.94000244140625
2023-09-15,348.260009765625,348.8500061035156,345.6000061035156,346.1400146484375
2023-09-18,346.2799987792969,347.1300048828125,345.30999755859375,346.1499938964844
2023-09-19,345.4700012207031,345.80999755859375,342.9800109863281,345.07000732421875
2023-09-20,346.0400085449219,347.6600036621094,344.20001220703125,344.32000732421875
2023-09-21,343.1700134277344,343.6499938964844,340.4700012207031,340.5799865722656
2023-09-22,340.69000244140625,341.42999267578125,339.32000732421875,339.5799865722656
2023-09-25,338.7300109863281,340.07000732421875,337.69000244140625,339.9800109863281
2023-09-26,337.8699951171875,338.739990234375,335.54998779296875,336.0400085449219
2023-09-27,336.8800048828125,337.1499938964844,332.92999267578125,335.42999267578125
2023-09-28,335.32000732421875,337.6700134277344,334.57000732421875,336.6199951171875
2023-09-29,338.7799987792969,338.8299865722656,333.9100036621094,334.95001220703125
2023-10-02,334.2900085449219,335.0199890136719,332.0799865722656,334.0899963378906
2023-10-03,332.8399963378906,333.8800048828125,329.0400085449219,329.9800109863281
2023-10-04,330.1300048828125,331.4599914550781,328.6099853515625,330.989990234375
2023-10-05,330.82000732421875,331.75,329.3900146484375,331.1700134277344
2023-10-06,330.3500061035156,335.6400146484375,328.4800109863281,334.1000061035156
2023-10-09,332.95001220703125,336.3800048828125,332.5899963378906,336.0899963378906
2023-10-10,337.20001220703125,339.010009765625,336.0299987792969,337.45001220703125
2023-10-11,338.19000244140625,338.8399963378906,336.1600036621094,338.0299987792969
2023-10-12,338.7699890136719,338.7699890136719,334.57000732421875,336.2699890136719
2023-10-13,337.4800109863281,339.6099853515625,335.5199890136719,336.67999267578125
2023-10-16,338.7699890136719,340.9100036621094,338.4100036621094,339.8900146484375
2023-10-17,338.3299865722656,341.5199890136719,338.2699890136719,339.989990234375
2023-10-18,339.739990234375,339.9700012207031,336.0,336.6300048828125
2023-10-19,336.69000244140625,338.6199951171875,333.760009765625,334.1199951171875
2023-10-20,333.3800048828125,334.2300109863281,331.1300048828125,331.19000244140625
2023-10-23,329.8999938964844,332.3299865722656,328.8800048828125,329.32000732421875
2023-10-24,331.0,332.70001220703125,329.8500061035156,331.44000244140625
2023-10-25,332.2200012207031,332.69000244140625,329.8299865722656,330.3500061035156
2023-10-26,330.1600036621094,331.0199890136719,327.3599853515625,327.82000732421875
2023-10-27,327.8399963378906,327.8800048828125,323.2099914550781,324.19000244140625
2023-10-30,326.3900146484375,330.0199890136719,326.3699951171875,329.2300109863281
2023-10-31,329.17999267578125,330.67999267578125,327.8399963378906,330.4800109863281
2023-11-01,330.9200134277344,333.3599853515625,330.1000061035156,332.67999267578125
2023-11-02,334.7799987792969,338.5199890136719,334.4100036621094,338.3900146484375
2023-11-03,340.1199951171875,341.6199951171875,339.3900146484375,340.6099853515625
2023-11-06,340.8599853515625,341.6400146484375,339.8900146484375,341.0400085449219
2023-11-07,340.7300109863281,342.07000732421875,340.29998779296875,341.5400085449219
2023-11-08,342.1000061035156,342.5899963378906,339.94000244140625,341.1199951171875
2023-11-09,342.010009765625,342.04998779296875,338.7699890136719,339.1099853515625
2023-11-10,340.80999755859375,343.29998779296875,339.2699890136719,343.010009765625
2023-11-13,342.3800048828125,344.29998779296875,342.2300109863281,343.57000732421875
2023-11-14,347.5199890136719,349.5199890136719,346.6700134277344,348.4200134277344
2023-11-15,349.2900085449219,350.7799987792969,348.9800109863281,350.2699890136719
2023-11-16,349.5799865722656,350.79998779296875,348.75,350.0199890136719
2023-11-17,349.7799987792969,350.2200012207031,348.7300109863281,349.42999267578125
2023-11-20,349.1000061035156,352.239990234375,349.07000732421875,351.5199890136719
2023-11-21,351.1099853515625,351.2099914550781,350.3599853515625,350.82000732421875
2023-11-22,351.8900146484375,353.1400146484375,351.5,352.55999755859375
2023-11-24,353.1600036621094,353.95001220703125,353.0400085449219,353.79998779296875
2023-11-27,353.6300048828125,354.1400146484375,352.7799987792969,353.32000732421875
2023-11-28,353.489990234375,355.1400146484375,353.0899963378906,354.1099853515625
2023-11-29,354.9700012207031,356.1300048828125,354.3699951171875,354.6499938964844
2023-11-30,356.7099914550781,360.17999267578125,356.45001220703125,360.0
2023-12-01,360.0199890136719,363.25,359.8599853515625,363.04998779296875
2023-12-04,361.1499938964844,362.95001220703125,361.0199890136719,362.6400146484375
2023-12-05,361.8599853515625,362.260009765625,360.70001220703125,361.9100036621094
2023-12-06,362.80999755859375,363.54998779296875,360.8299865722656,361.2200012207031
2023-12-07,361.9599914550781,362.3599853515625,360.92999267578125,361.8299865722656
2023-12-08,361.760009765625,363.67999267578125,361.3800048828125,363.1199951171875
2023-12-11,363.6000061035156,364.8699951171875,363.0,364.69000244140625
2023-12-12,365.4100036621094,366.67999267578125,364.42999267578125,366.4100036621094
2023-12-13,366.6000061035156,371.739990234375,366.0,371.739990234375
2023-12-14,372.7099914550781,373.6700134277344,371.260009765625,373.3299865722656
2023-12-15,371.739990234375,373.3900146484375,371.3299865722656,372.6300048828125
2023-12-18,373.2900085449219,373.8699951171875,372.760009765625,372.9800109863281
2023-12-19,373.239990234375,375.55999755859375,373.1199951171875,375.5
2023-12-20,374.6700134277344,376.3399963378906,370.6099853515625,370.79998779296875
2023-12-21,372.8900146484375,374.1300048828125,371.1600036621094,373.8800048828125
2023-12-22,373.6400146484375,375.30999755859375,372.5799865722656,373.79998779296875
2023-12-26,373.67999267578125,376.0899963378906,373.5799865722656,375.3500061035156
2023-12-27,375.1000061035156,376.7900085449219,374.75,376.55999755859375
2023-12-28,376.5199890136719,377.69000244140625,376.5199890136719,377.0299987792969
2023-12-29,376.95001220703125,377.4599914550781,375.2699890136719,376.8699951171875
2024-01-02,374.79998779296875,377.82000732421875,374.79998779296875,377.0899963378906
2024-01-03,375.57000732421875,376.1199951171875,373.8999938964844,374.2099914550781
2024-01-04,374.8399963378906,377.2200012207031,374.3999938964844,374.5400085449219
2024-01-05,374.42999267578125,376.25,373.2099914550781,374.6400146484375
2024-01-08,373.3999938964844,376.9700012207031,372.4700012207031,376.8399963378906
2024-01-09,374.79998779296875,375.6000061035156,373.75,375.17999267578125
2024-01-10,375.54998779296875,377.4700012207031,375.2900085449219,376.95001220703125
2024-01-11,377.7699890136719,378.1199951171875,374.25,377.1700134277344
2024-01-12,377.4800109863281,378.25,374.7300109863281,375.9100036621094
